#ID	chrm	start	end
1 	 1 	 1 	 50000 
1 	 1 	 50001 	 100000 
1 	 1 	 100001 	 150000 
1 	 1 	 150001 	 200000 
1 	 1 	 200001 	 250000 
1 	 1 	 250001 	 300000 
1 	 1 	 300001 	 350000 
1 	 1 	 350001 	 400000 
1 	 1 	 400001 	 450000 
1 	 1 	 450001 	 500000 
1 	 1 	 500001 	 550000 
1 	 1 	 550001 	 600000 
1 	 1 	 600001 	 650000 
1 	 1 	 650001 	 700000 
1 	 1 	 700001 	 750000 
1 	 1 	 750001 	 800000 
1 	 1 	 800001 	 850000 
1 	 1 	 850001 	 900000 
1 	 1 	 900001 	 950000 
1 	 1 	 950001 	 1000000 
1 	 1 	 1000001 	 1050000 
1 	 1 	 1050001 	 1100000 
1 	 1 	 1100001 	 1150000 
1 	 1 	 1150001 	 1200000 
1 	 1 	 1200001 	 1250000 
1 	 1 	 1250001 	 1300000 
1 	 1 	 1300001 	 1350000 
1 	 1 	 1350001 	 1400000 
1 	 1 	 1400001 	 1450000 
1 	 1 	 1450001 	 1500000 
1 	 1 	 1500001 	 1550000 
1 	 1 	 1550001 	 1600000 
1 	 1 	 1600001 	 1650000 
1 	 1 	 1650001 	 1700000 
1 	 1 	 1700001 	 1750000 
1 	 1 	 1750001 	 1800000 
1 	 1 	 1800001 	 1850000 
1 	 1 	 1850001 	 1900000 
1 	 1 	 1900001 	 1950000 
1 	 1 	 1950001 	 2000000 
1 	 1 	 2000001 	 2050000 
1 	 1 	 2050001 	 2100000 
1 	 1 	 2100001 	 2150000 
1 	 1 	 2150001 	 2200000 
1 	 1 	 2200001 	 2250000 
1 	 1 	 2250001 	 2300000 
1 	 1 	 2300001 	 2350000 
1 	 1 	 2350001 	 2400000 
1 	 1 	 2400001 	 2450000 
1 	 1 	 2450001 	 2500000 
1 	 1 	 2500001 	 2550000 
1 	 1 	 2550001 	 2600000 
1 	 1 	 2600001 	 2650000 
1 	 1 	 2650001 	 2700000 
1 	 1 	 2700001 	 2750000 
1 	 1 	 2750001 	 2800000 
1 	 1 	 2800001 	 2850000 
1 	 1 	 2850001 	 2900000 
1 	 1 	 2900001 	 2950000 
1 	 1 	 2950001 	 3000000 
1 	 1 	 3000001 	 3050000 
1 	 1 	 3050001 	 3100000 
1 	 1 	 3100001 	 3150000 
1 	 1 	 3150001 	 3200000 
1 	 1 	 3200001 	 3250000 
1 	 1 	 3250001 	 3300000 
1 	 1 	 3300001 	 3350000 
1 	 1 	 3350001 	 3400000 
1 	 1 	 3400001 	 3450000 
1 	 1 	 3450001 	 3500000 
1 	 1 	 3500001 	 3550000 
1 	 1 	 3550001 	 3600000 
1 	 1 	 3600001 	 3650000 
1 	 1 	 3650001 	 3700000 
1 	 1 	 3700001 	 3750000 
1 	 1 	 3750001 	 3800000 
1 	 1 	 3800001 	 3850000 
1 	 1 	 3850001 	 3900000 
1 	 1 	 3900001 	 3950000 
